No. Moves,FirstMove,ProbCaptureFirst30,WhiteElo,BlackElo,TimeControl,Result,Fen,Eval5,Eval12
39,Nf3,0.06896551724137931,1792,1654,120+0,1-0,rnbqkb1r/ppp1pppp/5n2/3p4/8/1P3NP1/P1PPPP1P/RNBQKB1R b KQkq - 0 3,+36,+30
49,e4,0.2413793103448276,1624,1582,180+0,1-0,rnbqkbnr/pp2pppp/2P5/8/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 3,-75,+42
53,e4,0.13793103448275862,1861,1956,180+0,1/2-1/2,rnbqkbnr/pp2pppp/3p4/2p5/4P3/2P2N2/PP1P1PPP/RNBQKB1R b KQkq - 0 3,-6,+124
43,Nf3,0.06896551724137931,1643,1553,60+0,0-1,rnbqkbnr/pppp1ppp/8/8/3Pp3/8/PPPNPPPP/RNBQKB1R b KQkq - 1 3,+24,-18
22,d4,0.2413793103448276,1908,1900,180+0,1-0,rnbqk1nr/ppppppbp/6p1/8/3P1B2/5N2/PPP1PPPP/RN1QKB1R b KQkq - 3 3,-28,-38
35,e4,0.10344827586206896,1406,1578,60+0,0-1,rnbqkbnr/ppp2ppp/3p4/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,-46,+22
10,e4,0.11764705882352941,1934,1685,0+1,1-0,rnbqkbnr/pp2pppp/2p5/3P4/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,-34,+46
18,Nf3,0.27586206896551724,1684,1392,180+0,0-1,rnbqkbnr/pp1p1ppp/4p3/2p5/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 0 3,-33,+195
41,d4,0.3448275862068966,1760,1688,300+0,1-0,rnbqkb1r/ppp1pppp/5n2/3p2B1/3P4/5N2/PPP1PPPP/RN1QKB1R b KQkq - 1 3,+5,+155
54,e4,0.2413793103448276,1290,1661,300+0,0-1,r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-30,+209
48,Nf3,0.2413793103448276,1766,1537,300+0,1-0,rnbqkbnr/pp2pppp/8/2pp4/8/3P1N2/PPPNPPPP/R1BQKB1R b KQkq - 1 3,+23,+60
37,e4,0.20689655172413793,1240,1525,60+10,0-1,r1bqkbnr/pp1ppppp/2n5/2p5/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-8,-362
45,e4,0.27586206896551724,1452,1511,300+0,1-0,rnbqkb1r/pppppppp/8/3nP3/2P5/8/PP1P1PPP/RNBQKBNR b KQkq - 0 3,-61,+125
32,d4,0.06896551724137931,1699,1616,300+0,1-0,rnbqkbnr/pp2pppp/2p5/3p4/3P1B2/2N5/PPP1PPPP/R2QKBNR b KQkq - 1 3,-20,+45
51,e4,0.27586206896551724,1395,1497,600+0,0-1,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-16,+37
49,e4,0.2413793103448276,1192,1211,300+10,0-1,r1bqkbnr/ppp1pppp/2n5/3pP3/5P2/8/PPPP2PP/RNBQKBNR b KQkq - 0 3,0,+158
48,e3,0.06896551724137931,1877,1972,0+1,0-1,rnbqkbnr/pp2pppp/8/2pp4/3P4/4P3/PPP1NPPP/RNBQKB1R b KQkq - 0 3,+26,+79
43,d4,0.2413793103448276,1322,1397,60+1,0-1,rn1qkbnr/ppp1pppp/8/3p1b2/3P4/2P1B3/PP2PPPP/RN1QKBNR b KQkq - 0 3,+41,-124
26,d4,0.06896551724137931,1813,1341,60+0,1-0,rnbqkbnr/pp1ppppp/8/8/3Q1B2/8/PPP1PPPP/RN2KBNR b KQkq - 0 3,+54,-154
7,e4,0.0,1843,1608,180+0,1-0,rn1qkbnr/pbpppppp/1p6/8/3PP3/3B4/PPP2PPP/RNBQK1NR b KQkq - 2 3,-80,e0
33,d4,0.1724137931034483,1347,1836,180+0,1-0,rnbqkb1r/pppp1ppp/4pn2/6B1/3P4/5N2/PPP1PPPP/RN1QKB1R b KQkq - 1 3,-13,+20
61,e4,0.3448275862068966,833,1246,480+2,0-1,rnbqkbnr/ppp2ppp/8/3pp3/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq - 1 3,0,-16
15,Nc3,0.1111111111111111,1364,1411,600+3,1-0,rnbqk1nr/pppp1ppp/8/4p3/1b1P4/2NQ4/PPP1PPPP/R1B1KBNR b KQkq - 2 3,-52,-57
35,e4,0.20689655172413793,1876,1950,0+1,1-0,rnbqkbnr/pp2pppp/3p4/2p5/4PP2/5N2/PPPP2PP/RNBQKB1R b KQkq - 1 3,-11,+121
12,e4,0.38095238095238093,1851,1660,60+0,1-0,r1bqkbnr/pp1ppppp/2n5/2p5/4PP2/5N2/PPPP2PP/RNBQKB1R b KQkq - 2 3,+6,-63
35,e4,0.06896551724137931,1784,1832,180+0,1-0,rnbqkbnr/ppp2ppp/4p3/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,-28,+82
32,f4,0.1724137931034483,1089,1007,300+3,1-0,rnbqkbnr/pp2pppp/2p5/3p4/3P1P2/5N2/PPP1P1PP/RNBQKB1R b KQkq - 0 3,+38,-11
35,e4,0.20689655172413793,1306,1343,60+0,0-1,rnbqk1nr/ppppppbp/6p1/8/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 2 3,-65,+378
25,d4,0.2413793103448276,1629,1695,180+2,0-1,rnbqkb1r/pppp1ppp/4pn2/8/3P1B2/4P3/PPP2PPP/RN1QKBNR b KQkq - 0 3,-19,+57
30,d4,0.20689655172413793,1298,1466,120+3,0-1,rnbqk1nr/ppppppbp/6p1/8/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 2 3,-40,+82
17,d4,0.1724137931034483,1300,1022,120+0,1-0,rnbqkbnr/ppp2ppp/4p3/3p4/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq - 1 3,+22,+50
28,d4,0.27586206896551724,1497,1727,120+0,1-0,rnbqkbnr/ppp2ppp/8/3pp3/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 1 3,+42,+373
64,d4,0.20689655172413793,1680,1938,0+1,1-0,rnbqkb1r/ppp1pppp/5n2/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 2 3,-15,+11
18,e4,0.3448275862068966,1410,1450,1200+0,0-1,r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-6,-182
46,e3,0.06896551724137931,1393,1296,240+3,0-1,r1bqkbnr/ppp1pppp/2n5/3p4/8/2P1P2P/PP1P1PP1/RNBQKBNR b KQkq - 0 3,+64,-81
49,d4,0.13793103448275862,1613,1633,900+0,0-1,rnbqkb1r/pppp1ppp/4pn2/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,-19,+18
31,d4,0.0,1328,1665,180+0,0-1,rnbqkbnr/ppp2ppp/4p3/3p4/3P4/1P2P3/P1P2PPP/RNBQKBNR b KQkq - 0 3,-14,-26
12,e4,0.23809523809523808,1307,949,120+20,1-0,r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-24,+47
59,c4,0.0,1753,1838,300+8,0-1,rnbqkbnr/pp1pppp1/2p4p/8/2P5/2N3P1/PP1PPP1P/R1BQKBNR b KQkq - 0 3,-50,+77
29,d4,0.1724137931034483,1667,1676,60+0,0-1,rnbqkbnr/pp1p1ppp/4p3/2p5/3P4/2P5/PP1NPPPP/R1BQKBNR b KQkq - 1 3,-5,+32
21,e4,0.06896551724137931,2145,2120,180+0,1-0,r1bqkbnr/pp1ppppp/2n5/2p5/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3,-3,-34
48,e4,0.27586206896551724,1919,1770,60+0,0-1,r1bqkbnr/pp1ppppp/2n5/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-42,+32
11,e4,0.2,1142,1378,300+0,0-1,rnbqkbnr/ppp2ppp/3p4/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 1 3,-33,+61
75,e4,0.3448275862068966,1716,1865,180+0,0-1,rnbqkb1r/pppp1ppp/5n2/4N3/4P3/8/PPPP1PPP/RNBQKB1R b KQkq - 0 3,-55,+308
10,Nf3,0.0,1500,1500,-,0-1,rnbqkb1r/pppp1ppp/4pn2/8/2P5/5NP1/PP1PPP1P/RNBQKB1R b KQkq - 0 3,-45,+13
29,e4,0.27586206896551724,1498,1219,300+8,0-1,rnbqkbnr/pp1p1ppp/4p3/2p5/2B1PP2/8/PPPP2PP/RNBQK1NR b KQkq - 0 3,+46,-132
34,e4,0.13793103448275862,1303,1827,600+0,0-1,rnbqkbnr/pp2pppp/3p4/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,-19,+5
36,e3,0.20689655172413793,1574,1598,1200+0,0-1,rnbqkbnr/ppp2ppp/8/3pp3/8/1P2P3/PBPP1PPP/RN1QKBNR b KQkq - 1 3,+41,-93
52,Nf3,0.06896551724137931,2343,2317,60+0,1-0,rnbqkbnr/pp2pppp/2p5/3p4/2P5/4PN2/PP1P1PPP/RNBQKB1R b KQkq - 0 3,-30,+18
24,e4,0.1724137931034483,2019,1592,540+8,1-0,rnbqkbnr/pppp1ppp/8/8/4Pp2/5N2/PPPP2PP/RNBQKB1R b KQkq - 1 3,+76,-52
40,e4,0.3448275862068966,1541,1036,300+2,0-1,rnbqkb1r/ppp1pppp/5n2/3pP3/8/2N5/PPPP1PPP/R1BQKBNR b KQkq - 0 3,-31,+232
13,d4,0.08695652173913043,2099,1500,-,1-0,rnbqkb1r/pppppp1p/5np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,-37,+27
34,d3,0.13793103448275862,1699,1690,60+0,1-0,rnbqkbnr/pp2pppp/2p5/3p4/8/3P2P1/PPPNPP1P/R1BQKBNR b KQkq - 0 3,+23,+43
27,e4,0.20689655172413793,1664,1555,300+0,0-1,r1bqkbnr/pp1ppppp/2n5/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-33,+336
65,e4,0.2413793103448276,1515,1665,180+0,0-1,r1bqkbnr/pp1ppppp/2n5/2p5/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,+1,-95
38,e4,0.3793103448275862,1654,1856,60+0,1-0,rnbqkbnr/ppp1pppp/8/6N1/4p3/8/PPPP1PPP/RNBQKB1R b KQkq - 1 3,+95,-345
27,e4,0.10344827586206896,1350,1290,60+0,0-1,rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/6P1/PPPP1PBP/RNBQK1NR b KQkq - 1 3,-13,-205
61,e4,0.13793103448275862,1870,1713,180+0,0-1,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 1 3,-8,+45
22,e4,0.27586206896551724,1637,1581,600+0,0-1,rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,+49,+144
37,e4,0.20689655172413793,1738,1511,180+0,1-0,rnbqkbnr/pp2pppp/3p4/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-39,+77
52,d4,0.3103448275862069,1917,1910,60+0,1-0,rnbqkb1r/pppp1ppp/4pn2/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,-22,-202
56,e4,0.2413793103448276,1642,1799,300+0,0-1,rnbqkb1r/pppp1ppp/5n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3,-15,+54
18,e4,0.20689655172413793,2161,1657,60+0,1-0,r1bqkbnr/pp1ppppp/2n5/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-29,+338
49,d3,0.3103448275862069,1910,1717,60+0,1-0,rnbqkbnr/pp2pppp/2p5/3p4/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq - 1 3,-8,-160
62,Nf3,0.1724137931034483,2000,1918,60+0,1-0,rnbqkbnr/pp2pppp/3p4/2p5/8/5NP1/PPPPPPBP/RNBQK2R b KQkq - 1 3,-39,+73
38,d4,0.3103448275862069,1938,1359,60+0,1-0,rnbqkbnr/pp1p1ppp/4p3/2p5/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,+17,+23
50,e4,0.27586206896551724,1752,1669,1200+0,1-0,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3,-23,+1
40,e4,0.20689655172413793,1891,1905,180+0,0-1,rnb1kbnr/ppp1pppp/8/3q4/8/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 3,-57,+49
48,d4,0.1724137931034483,1194,1171,600+0,1-0,rnbqkbnr/ppp2ppp/4p3/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,-39,+197
40,e4,0.13793103448275862,1829,1868,300+0,0-1,rnbqkbnr/pp2pppp/2p5/3P4/8/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 3,-25,+52
27,e4,0.2413793103448276,1604,1848,180+0,1-0,rnbqkbnr/ppp2ppp/3p4/4p3/4PP2/5N2/PPPP2PP/RNBQKB1R b KQkq - 1 3,+49,0
21,d4,0.1724137931034483,1593,1922,180+0,0-1,rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 3,-39,+73
79,e4,0.10344827586206896,1489,1501,300+3,1-0,r1bqkbnr/ppp1pppp/2n5/3P4/8/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 3,-64,+27
78,e4,0.20689655172413793,1938,1890,0+1,0-1,r1bqkbnr/pppp1ppp/2n5/4p3/4PP2/5N2/PPPP2PP/RNBQKB1R b KQkq - 2 3,-14,+57
42,d4,0.13793103448275862,1770,1805,60+0,1-0,rnbqk1nr/ppppppbp/6p1/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 2 3,-55,+62
35,d4,0.2413793103448276,1873,2001,180+0,0-1,rnbqkb1r/pp1ppppp/5n2/2p5/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,+13,0
40,e4,0.06896551724137931,1907,1875,180+0,1-0,rnbqkbnr/pp2pppp/3p4/2p5/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq - 1 3,+11,-63
27,b4,0.20689655172413793,1610,1625,900+0,0-1,rnbqkb1r/pppp1ppp/4pn2/8/1P6/P7/1BPPPPPP/RN1QKBNR b KQkq - 0 3,+19,+25
6,d4,0.1,1339,1815,60+0,0-1,rn1qkbnr/pbpppppp/1p6/8/2PP4/4P3/PP3PPP/RNBQKBNR b KQkq - 0 3,-14,-252
29,e4,0.1724137931034483,1696,1725,60+0,0-1,rnbqkbnr/ppppppp1/8/8/4P2p/2N4P/PPPP1PP1/R1BQKBNR b KQkq - 0 3,-95,+226
21,d4,0.13793103448275862,1500,1580,900+10,0-1,rnbqk1nr/ppppppbp/6p1/8/3P1B2/2N5/PPP1PPPP/R2QKBNR b KQkq - 3 3,0,+15
23,e4,0.2413793103448276,1568,1610,300+2,1-0,r1bqkbnr/pppp1ppp/2n1p3/1B6/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-4,+72
31,e4,0.3103448275862069,1912,1662,60+0,0-1,rnbqkbnr/pp1p1ppp/4p3/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-33,+35
15,e4,0.39285714285714285,1460,2106,60+0,0-1,rnbqkbnr/pp1p1ppp/4p3/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-41,+48
46,g3,0.06896551724137931,1723,1618,120+0,1-0,rnbqkbnr/pp2pppp/8/2pp4/8/5NP1/PPPPPPBP/RNBQK2R b KQkq - 1 3,-26,-22
35,d4,0.13793103448275862,1850,1099,900+0,1-0,rnbqkbnr/pp2pppp/2p5/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,-28,+78
36,e4,0.20689655172413793,1710,1692,300+5,1/2-1/2,r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-25,-178
57,e4,0.20689655172413793,1349,1842,60+1,1-0,rnbqkbnr/pp2pppp/2p5/3P4/8/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 3,-26,+6
23,e4,0.1724137931034483,1879,1876,300+0,0-1,rnbqkbnr/pp1ppp1p/6p1/2p5/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 3,-35,-25
56,d4,0.06896551724137931,1980,1869,0+1,1-0,rnbqk1nr/ppppbppp/4p3/8/3PPP2/8/PPP3PP/RNBQKBNR b KQkq - 0 3,-23,+126
43,e4,0.3448275862068966,1474,1486,300+0,0-1,rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 2 3,-47,+74
54,d4,0.13793103448275862,1950,2022,60+0,0-1,rnbqkb1r/ppp1pppp/5n2/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 0 3,-35,+9
49,g3,0.20689655172413793,1475,1456,300+5,1/2-1/2,rnbqk1nr/ppppppbp/6p1/8/3P4/6P1/PPP1PP1P/RNBQKBNR b KQkq - 0 3,+19,-116
27,e4,0.3103448275862069,1524,1733,60+0,0-1,r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-28,+31
24,d4,0.13793103448275862,2307,2348,0+1,1-0,rnbqkb1r/ppp1pppp/3p1n2/8/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-38,+18
31,d4,0.27586206896551724,1817,1337,60+0,1-0,rnbqk1nr/ppppppbp/6p1/8/3P4/3BP3/PPP2PPP/RNBQK1NR b KQkq - 2 3,+5,-67
36,e4,0.06896551724137931,1353,1163,600+0,1-0,rnbqk1nr/pppp1ppp/3b4/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-94,+175
40,e4,0.13793103448275862,1692,1573,300+8,1-0,rnbqkbnr/ppp2ppp/4p3/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,-40,+223
60,Nf3,0.1724137931034483,1743,1593,660+2,1-0,rnbqkbnr/pp2pppp/8/2pp4/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-11,+127
45,e4,0.13793103448275862,1892,1788,600+0,0-1,rnbqkbnr/p1pp1ppp/1p2p3/8/2PPP3/8/PP3PPP/RNBQKBNR b KQkq - 0 3,-61,+77
39,e4,0.20689655172413793,1687,1657,60+0,0-1,rnbqkbnr/pp2pppp/2p5/3P4/2P5/8/PP1P1PPP/RNBQKBNR b KQkq - 0 3,-16,+49
47,c4,0.10344827586206896,2390,2417,60+0,0-1,rnbqkb1r/pppppp1p/5np1/8/2P5/2N3P1/PP1PPP1P/R1BQKBNR b KQkq - 0 3,-16,+26
16,d3,0.3448275862068966,1447,1250,180+0,1-0,rnbqkbnr/ppp2ppp/8/3pp3/P7/3P1N2/1PP1PPPP/RNBQKB1R b KQkq - 1 3,+58,-106
30,b3,0.10344827586206896,1210,1597,600+0,0-1,rnbqkbnr/pppp1ppp/8/8/3Pp3/1P2P3/P1P2PPP/RNBQKBNR b KQkq - 0 3,+58,-136
20,d4,0.27586206896551724,1531,1234,1200+0,1-0,rnbqkb1r/pppp1ppp/4pn2/8/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 1 3,-35,-50
18,e3,0.06896551724137931,1718,1757,180+2,1-0,rnbqkbnr/ppp2ppp/8/3pp3/8/1P1PP3/P1P2PPP/RNBQKBNR b KQkq - 0 3,+66,-66
23,d4,0.1724137931034483,1639,1712,600+0,0-1,rnbqkb1r/pp1ppppp/5n2/2P5/8/5N2/PPP1PPPP/RNBQKB1R b KQkq - 0 3,+1,+56
22,e4,0.27586206896551724,1890,1922,180+0,0-1,rnbqkbnr/pp2pppp/3p4/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-51,-169
46,d4,0.13793103448275862,1437,1599,600+10,0-1,r1bqkbnr/ppp1pppp/2n5/3p4/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-42,+18
19,d4,0.06896551724137931,2313,2462,180+0,1-0,rnbqkb1r/ppp1pppp/3p1n2/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,-57,+39
37,e4,0.20689655172413793,1346,1761,480+0,1-0,rnbqkbnr/ppp2ppp/3p4/4p3/3PPP2/8/PPP3PP/RNBQKBNR b KQkq - 0 3,+37,-12
50,d4,0.1724137931034483,1687,1580,60+1,0-1,rnbqkbnr/1ppppppp/8/8/p1PPP3/8/PP3PPP/RNBQKBNR b KQkq - 0 3,-76,+227
53,e4,0.2413793103448276,1475,1499,300+8,0-1,r1bqkbnr/pppp1ppp/2B5/4p3/4P3/8/PPPP1PPP/RNBQK1NR b KQkq - 0 3,+20,-7
66,e4,0.10344827586206896,1938,1797,300+0,0-1,rnbqkbnr/pp2pppp/3p4/2p5/4P3/1P6/PBPP1PPP/RN1QKBNR b KQkq - 1 3,+18,-21
42,e4,0.10344827586206896,1890,2260,600+0,0-1,rnbqkb1r/pp1ppppp/5n2/2p5/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,+113,-85
21,e4,0.3448275862068966,1767,1846,1200+5,0-1,r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-22,+6
26,e4,0.2413793103448276,1610,1353,60+0,0-1,r1bqkbnr/pp1ppppp/2n5/2p5/4PP2/1P6/P1PP2PP/RNBQKBNR b KQkq - 0 3,+55,-140
24,d4,0.20689655172413793,1617,1735,0+8,0-1,rnbqkb1r/pp1ppppp/5n2/2p5/2PP4/4P3/PP3PPP/RNBQKBNR b KQkq - 0 3,-31,+28
58,Nf3,0.13793103448275862,2110,2156,180+0,0-1,rnbqkbnr/pp1p1ppp/2p1p3/8/2P1P3/5N2/PP1P1PPP/RNBQKB1R b KQkq - 0 3,-38,+78
26,e4,0.27586206896551724,1839,1621,60+0,0-1,rnbqkbnr/ppp2ppp/3p4/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,-33,+67
30,Nf3,0.2413793103448276,2474,2162,60+0,1-0,rnbqk1nr/ppppppbp/6p1/8/8/5NP1/PPPPPPBP/RNBQK2R b KQkq - 2 3,0,+43
27,e4,0.13793103448275862,2107,1656,60+0,1-0,r1bqkbnr/pp1ppppp/2n5/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-33,+124
25,e4,0.06896551724137931,1382,1684,300+0,0-1,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/3P4/PPP1KPPP/RNBQ1BNR b kq - 2 3,+118,-101
56,e4,0.3103448275862069,1293,1514,300+1,1-0,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-11,+2
58,e4,0.27586206896551724,1165,1280,240+2,1-0,rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/3P4/PPP2PPP/RNBQK1NR b KQkq - 0 3,-2,-70
22,d4,0.2413793103448276,1507,1665,300+2,0-1,rnbqk1nr/ppppppbp/6p1/4P3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,+17,+44
32,e4,0.10344827586206896,2114,2204,180+0,1-0,rnbqkbnr/pp2pppp/2p5/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 1 3,-23,+75
58,c4,0.3103448275862069,1899,1700,60+0,1/2-1/2,rnb1kbnr/ppp1pppp/8/3q4/8/2N5/PP1PPPPP/R1BQKBNR b KQkq - 1 3,-71,+95
51,d4,0.13793103448275862,1647,1695,60+2,0-1,rnbqkb1r/pp1ppppp/5n2/2p5/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 0 3,-16,-3
28,e4,0.20689655172413793,1286,1435,420+6,0-1,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-11,-30
25,e4,0.3103448275862069,1456,1394,420+6,1-0,rnbqk1nr/ppppppbp/6p1/4P3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,+31,+257
36,e4,0.20689655172413793,1909,1534,60+0,1-0,rnbqkbnr/ppp2ppp/3pp3/8/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 1 3,-69,+102
61,e4,0.2413793103448276,2335,2010,60+0,0-1,rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 3,-44,+53
18,Nf3,0.1724137931034483,1680,1381,60+0,1-0,rn1qkbnr/pbpppppp/1p6/8/8/5NP1/PPPPPPBP/RNBQK2R b KQkq - 2 3,-44,+116
51,d4,0.20689655172413793,1734,1711,60+0,1/2-1/2,rnbqk1nr/ppppppbp/6p1/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 2 3,-69,-91
31,e4,0.06896551724137931,1671,1657,300+0,0-1,rnbqkb1r/pppp1ppp/5n2/4p3/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,+10,-1
36,g3,0.034482758620689655,1808,1855,60+1,1-0,rnbqkbnr/pp2pppp/2pp4/8/2P5/6P1/PP1PPPBP/RNBQK1NR b KQkq - 0 3,-37,+43
28,e4,0.27586206896551724,1518,1379,600+10,0-1,rnbqkb1r/pp1ppppp/2p2n2/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3,-36,+41
27,d4,0.3103448275862069,1630,1557,60+0,1-0,rnbqkb1r/pp1ppppp/5n2/2p5/3P1B2/5N2/PPP1PPPP/RN1QKB1R b KQkq - 1 3,+43,+14
42,e4,0.27586206896551724,1720,2089,180+0,0-1,r1bqkbnr/pp1ppppp/2n5/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-28,-10
42,e4,0.20689655172413793,2057,2201,180+0,0-1,r1bqkbnr/pp1ppppp/2n5/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-39,+32
38,d4,0.27586206896551724,1304,1338,60+0,0-1,r1bqkbnr/ppp1pppp/2np4/8/3P4/6P1/PPP1PPBP/RNBQK1NR b KQkq - 1 3,-61,+38
28,Nf3,0.13793103448275862,2211,1890,180+0,1-0,rnbqkb1r/pppppp1p/5np1/8/8/1P3N2/PBPPPPPP/RN1QKB1R b KQkq - 1 3,-13,-59
8,e4,0.07692307692307693,1902,1767,480+0,1-0,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-11,e1
46,Nf3,0.20689655172413793,1298,1196,1200+0,0-1,r1bqkb1r/pppppppp/2n2n2/8/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq - 2 3,-18,+126
24,e4,0.13793103448275862,1709,1676,300+5,1-0,rnbqkbnr/pp2pppp/2p5/3P4/2B5/8/PPPP1PPP/RNBQK1NR b KQkq - 0 3,+42,-58
11,e4,0.3,1415,1430,1200+9,0-1,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-15,-121
